TEAM SUCCESS DRIVER TO PLAYER/GOALIE KPI MAPPING,,,,,,,,,,
,,,,,,,,,,
team_rank,team_statistic,team_category,signal_tier,direction,team_weight_pct,team_codex_key,skater_metric_or_proxy,goalie_metric_or_proxy,mapping_type,team_dashboard_note
1,xG conversion,Offensive,Tier 1 — Core Driver,↑ Higher = Better,5.867,xg_conversion,xg_per60; xg_per_shot; goals_per60 as low-weight outcome check,No direct goalie mapping.,skater_direct_or_proxy,Strongest predictor of winning in AUS. Measures how efficiently the team converts expected-goal chances into goals.
2,CORSI%,Offensive,Tier 1 — Core Driver,↑ Higher = Better,4.126,corsi_pct,corsi_for_pct_adj,No direct goalie mapping.,skater_direct_or_proxy,Even-strength shot-attempt share. Best proxy for territorial control and sustained offensive pressure at 5-on-5.
3,Scoring chances,Offensive,Tier 1 — Core Driver,↑ Higher = Better,4.1169,scoring_chances,scoring_chances_per60,scoring_chance_save_pct_adj; scoring_chances_against_per60_context,direct_or_partial,High-danger shot volume. Directly linked to goal probability. Tier 1 offensive process driver.
4,Shots on goal,Offensive,Tier 1 — Core Driver,↑ Higher = Better,3.8418,shots_on_goal,shots_on_goal_per60,shots_against_per60_context; save_pct_adj,direct_or_partial,On-net shot volume. Consistent Tier 1 predictor of offensive activity and pressure generation.
5,Net xG (xG - Opponent's xG),Offensive,Tier 1 — Core Driver,↑ Higher = Better,3.7843,net_xg,net_xg_per60,N/A direct; goalie contributes through gsae_per60,skater_direct_or_proxy,xG differential. Best combined on-ice metric — accounts for both offensive creation and defensive concession.
6,Shots,Offensive,Tier 2 — Important Driver,↑ Higher = Better,3.4347,shots_total,shots_per60 / shots_5v5_per60,No direct goalie mapping.,skater_direct_or_proxy,Total shot attempts. Strong proxy for offensive puck possession and sustained territorial pressure.
7,Opponent's xG,Defensive,Tier 2 — Important Driver,↓ Lower = Better,3.1618,opp_xg,opp_xg_on_ice_per60_inv,xg_conceded_per60_context; gsae_per60,direct_or_partial,Quality and volume of scoring chances allowed. Primary defensive process measure. Lower = better.
8,xG (Expected goals),Offensive,Tier 2 — Important Driver,↑ Higher = Better,3.0829,xg_for,xg_per60; team_xg_on_ice_per60,N/A,skater_direct_or_proxy,Cumulative expected goals generated. Volume of quality chance creation — closely paired with xG conversion.
9,Successful power play,Special Teams,Tier 2 — Important Driver,↑ Higher = Better,2.9927,pp_goals,pp_shots_per60; pp_retrievals context; goals_per60 low weight,No direct goalie mapping.,skater_direct_or_proxy,Power play goals scored. Most direct measure of man-advantage execution.
10,OZ play with shots,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.8337,oz_play_with_shots,oz_possession_per60; puck_retrievals_after_shots_per60; shots_on_goal_per60,No direct goalie mapping.,skater_direct_or_proxy,OZ possession sequences that produce a shot. Highest-quality measure of productive offensive zone time.
11,"Power play, %",Special Teams,Tier 2 — Important Driver,↑ Higher = Better,2.8112,pp_pct,special teams module only if PP attempts/TOI available,No direct goalie mapping.,skater_direct_or_proxy,PP conversion rate. Efficiency of man-advantage situations. Strong special teams predictor.
12,Entries,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.7536,zone_entries,entries_per60; entries_via_pass_per60; entries_via_stickhandling_per60,No direct goalie mapping.,skater_direct_or_proxy,Total zone entries. Drives offensive possession — more entries means more shots and more OZ time.
13,Passes to the slot,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.5687,passes_to_slot,passes_to_slot_per60,No direct goalie mapping.,skater_direct_or_proxy,Passes delivered into the high-danger slot area. Key pre-shot movement indicator. Dal priority development area.
14,Offensive play,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.4808,offensive_play_time,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Total offensive zone possession time. Broad measure of sustained forward pressure.
15,OZ play,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.4777,oz_play,oz_possession_per60; ev_oz_retrievals_per60,No direct goalie mapping.,skater_direct_or_proxy,Offensive zone possession sequences. Correlated with controlled zone time and shot generation.
16,EV DZ retrievals,Defensive,Tier 2 — Important Driver,↓ Lower = Better,2.4672,ev_dz_retrievals,ev_dz_retrievals_context_adj,No direct goalie mapping.,skater_direct_or_proxy,Even-strength puck retrievals in own zone. Higher count signals prolonged defensive zone time. Lower = better.
17,EV OZ retrievals,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.3759,ev_oz_retrievals,ev_oz_retrievals_per60,No direct goalie mapping.,skater_direct_or_proxy,Even-strength puck retrievals in offensive zone. Reflects ability to sustain pressure and win puck battles up ice.
18,Missed shots,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.3703,missed_shots,missed_shots context; do not weight high,No direct goalie mapping.,skater_direct_or_proxy,Off-target shot volume. Reflects overall shooting activity and offensive zone presence.
19,"Short-handed, %",Special Teams,Tier 2 — Important Driver,↑ Higher = Better,2.3612,pk_pct,pk_retrievals_per60; sh_shots_per60; team PK context,No direct goalie mapping.,skater_direct_or_proxy,PK success rate. Strong predictor of special teams defensive performance.
20,Puck losses in NZ,Defensive,Tier 2 — Important Driver,↓ Lower = Better,2.3026,puck_losses_nz,puck_losses_nz_per60_inv,No direct goalie mapping.,skater_direct_or_proxy,Neutral zone turnovers. Interrupts transition and generates direct counter-attacks. Dal priority defensive gap.
21,Pre-shots passes,Offensive,Tier 2 — Important Driver,↑ Higher = Better,2.1233,pre_shot_passes,pre_shot_passes_per60,No direct goalie mapping.,skater_direct_or_proxy,Passes completed immediately before a shot. Measures pre-shot movement quality — reflects shot setup.
22,Defensive play,Defensive,Tier 2 — Important Driver,↓ Lower = Better,2.0297,defensive_play_time,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Total defensive zone possession time. Lower = less time under pressure in own end.
23,"Accurate passes, %",Offensive,Tier 2 — Important Driver,↑ Higher = Better,1.9891,accurate_pass_pct,accurate_pass_pct_adj,No direct goalie mapping.,skater_direct_or_proxy,Pass completion rate. Reflects puck management quality and execution under pressure.
24,% shots on goal,Offensive,Tier 2 — Important Driver,↑ Higher = Better,1.9012,shot_accuracy_pct,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Shot accuracy rate (shots on goal ÷ total shots). Reflects shot quality and net presence.
25,Puck losses in DZ,Defensive,Tier 2 — Important Driver,↓ Lower = Better,1.838,puck_losses_dz,puck_losses_dz_per60_inv,No direct goalie mapping.,skater_direct_or_proxy,Turnovers in own defensive zone. Creates immediate high-danger scoring opportunities for opponents.
26,Puck battles in DZ,Defensive,Tier 2 — Important Driver,↓ Lower = Better,1.7433,puck_battles_dz,puck_battles_dz_per60_context,No direct goalie mapping.,skater_direct_or_proxy,Puck battle events in own zone. Fewer DZ battles = less time under defensive pressure.
27,"Puck battles won, %",Offensive,Tier 2 — Important Driver,↑ Higher = Better,1.7399,puck_battles_won_pct,adjusted_battle_win_pct,No direct goalie mapping.,skater_direct_or_proxy,Rate of puck battle success across all zones. Reflects compete level at board battles.
28,OZ possession,Offensive,Tier 2 — Important Driver,↑ Higher = Better,1.7365,oz_possession,oz_possession_per60,No direct goalie mapping.,skater_direct_or_proxy,Offensive zone possession time. Broader territorial control measure — overlaps with OZ play.
29,Takeaways in DZ,Defensive,Tier 3 — Supporting Indicator,↓ Lower = Better,1.626,takeaways_dz,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Steals by the team in own defensive zone. High count signals prolonged DZ pressure.
30,DZ possession,Defensive,Tier 3 — Supporting Indicator,↓ Lower = Better,1.3531,dz_possession,dz_possession_context,No direct goalie mapping.,skater_direct_or_proxy,Defensive zone possession time. Lower = less time under pressure in own end.
31,xG per goal,Offensive,Tier 3 — Supporting Indicator,↓ Lower = Better,1.3001,xg_per_goal,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,xG required per goal scored. Lower = more clinical finishing relative to shot quality generated.
32,Breakouts,Defensive,Tier 3 — Supporting Indicator,↓ Lower = Better,1.2911,breakouts,breakouts_per60; breakouts_via_pass_per60,No direct goalie mapping.,skater_direct_or_proxy,Zone exit events from own end. Fewer breakouts needed signals less time defending own zone.
33,Opponent's xG per goal,Defensive,Tier 3 — Supporting Indicator,↑ Higher = Better,1.2776,opp_xg_per_goal,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,xG opponent requires per goal scored against Dal. Higher = opponents shooting inefficiently.
34,Goals For,Offensive,Tier 1 — Core Driver,↑ Higher = Better,1.25,goals_for,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,"Outcome metric. Scoring is the objective of offensive play, but kept low-weighted so process indicators — xG, scoring chances, OZ possession — remain dominant."
35,Opponent's xG per shot,Defensive,Tier 3 — Supporting Indicator,↓ Lower = Better,1.2257,opp_xg_per_shot,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Average xG value of each opponent shot allowed. Lower = better shot suppression and defensive structure.
36,xG per shot,Offensive,Tier 3 — Supporting Indicator,↑ Higher = Better,1.0588,xg_per_shot,xg_per_shot,No direct goalie mapping.,skater_direct_or_proxy,Average shot quality generated. Higher = better shot selection and chance quality.
37,Puck battles in NZ,Defensive,Tier 3 — Supporting Indicator,↓ Lower = Better,1.025,puck_battles_nz,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Neutral zone puck battles. Lower count may reflect cleaner transition play.
38,"Faceoffs won, %",Defensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.9844,faceoff_pct,center/faceoff module only,No direct goalie mapping.,skater_direct_or_proxy,Overall faceoff win rate. Provides clean possession starts. Rate version only — counts excluded.
39,"Faceoffs won in DZ, %",Defensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.9574,faceoff_dz_pct,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,DZ faceoff win rate. Reduces immediate pressure in own zone following icing or goalie freezes.
40,NZ possession,Defensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.9021,nz_possession,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Neutral zone possession time. Proxy for transition control — teams that own the NZ control game flow.
41,Blocked shots,Defensive,Tier 3 — Supporting Indicator,↓ Lower = Better,0.8953,blocked_shots_against,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Dal's shots blocked by opponents. Fewer = better shot lane creation.
42,Shots blocking,Defensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.875,shots_blocked_for,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Shots blocked by Dal defenders. Reflects shot-blocking effort and defensive commitment.
43,Penalty kill retrievals,Special Teams,Tier 3 — Supporting Indicator,↓ Lower = Better,0.8559,pk_retrievals,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Puck retrievals while on the penalty kill. Lower preferred — signals cleaner PK execution.
44,"Faceoffs won in NZ, %",Defensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.6777,faceoff_nz_pct,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,NZ faceoff win rate. Influences transition possession directly from neutral zone draws.
45,"Faceoffs won in OZ, %",Offensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.654,faceoff_oz_pct,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,OZ faceoff win rate. Maintains offensive zone possession after stoppages.
46,"Counter-attack with shots, %",Offensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.6495,counterattack_shot_pct,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Rate at which counter-attacks produce a shot. Reflects transition efficiency and quick-strike ability.
47,Puck battles in OZ,Offensive,Tier 3 — Supporting Indicator,↑ Higher = Better,0.6484,puck_battles_oz,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Puck battle events in offensive zone. More OZ battles = more sustained offensive zone pressure.
48,Short-handed time,Special Teams,Tier 3 — Supporting Indicator,↓ Lower = Better,0.5638,shorthanded_time,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Total ice time while shorthanded. Better PK burden measure than count alone — captures major penalties and extended kills.
49,Penalty time,Special Teams,Tier 3 — Supporting Indicator,↓ Lower = Better,0.5638,penalty_time,penalty_time_per60_inv,goalie_penalty_time_per60_inv,direct_or_partial,Total penalty minutes taken. Lower = better discipline and fewer PK situations faced.
50,Counter-attack with shots,Offensive,Tier 4 — Context Metric,↑ Higher = Better,0.4533,counterattack_shots,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Counter-attacks that generate a shot. Reflects transition-to-shot conversion.
51,Dump ins,Offensive,Tier 4 — Context Metric,↑ Higher = Better,0.3834,dump_ins,entries_via_dumpin_per60_context; dump_ins context,No direct goalie mapping.,skater_direct_or_proxy,Dump-in zone entries. Paired with Entries — allows calculation of controlled entry rate.
52,Takeaways in OZ,Offensive,Tier 4 — Context Metric,↑ Higher = Better,0.3665,takeaways_oz,takeaways_oz_per60,No direct goalie mapping.,skater_direct_or_proxy,Steals in offensive zone. Generates immediate high-danger chances. Dal development priority.
53,"OZ play with shots, %",Offensive,Tier 4 — Context Metric,↑ Higher = Better,0.2463,oz_play_shots_pct,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Percentage of OZ sequences that include a shot. Secondary efficiency context — overlaps with OZ play with shots.
54,Counterattacks,Offensive,Tier 4 — Context Metric,↑ Higher = Better,0.2089,counterattacks,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Total counter-attack sequences. Volume context — paired with counter-attack shot % for effectiveness.
55,Puck losses in OZ,Defensive,Tier 4 — Context Metric,↓ Lower = Better,0.1571,puck_losses_oz,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Turnovers in offensive zone. Near-noise (|r|=0.02). Retained for zone-level completeness.
56,Power play retrievals,Special Teams,Tier 4 — Context Metric,↓ Lower = Better,0.0902,pp_retrievals,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Puck retrievals during power plays. Lower preferred — signals cleaner PP execution.
57,Takeaways in NZ,Defensive,Tier 4 — Context Metric,↑ Higher = Better,0.0821,takeaways_nz,No direct individual mapping; store as team context only.,No direct goalie mapping.,team_context_only,Neutral zone steals. Minimal predictive power (|r|=0.01). Retained for zone-level completeness.
58,Dump outs,Defensive,Tier 4 — Context Metric,↔ Context Dependent,0.0505,dump_outs,breakouts_via_dumpout_context; dump_outs context,No direct goalie mapping.,skater_direct_or_proxy,Dump-out exits from own zone. Context dependent — can reflect smart zone exits or passive defending.
59,Penalties drawn,Special Teams,Tier 4 — Context Metric,↑ Higher = Better,0.0147,penalties_drawn,penalties_drawn_per60,No direct goalie mapping.,skater_direct_or_proxy,Penalties drawn by Dal players. Near-noise (|r|=0.001). Retained as discipline and aggression context.
